avg,std,all
178375000.0,32824105.090618998,[183500000 148000000 152000000 230000000]
90387500.0,25857309.77402715,[134000000  68750000  85000000  73800000]
47925000.0,36181720.17745978,[ 43700000  15000000  25000000 108000000]
3905000.0,2262150.5254955958,[4130000 1680000 2310000 7500000]
12987500.0,19125874.326419696,[ 1560000 46100000  1420000  2870000]
78275000.0,65188970.501151495,[ 24100000 127500000 157000000   4500000]
140125000.0,79424787.53512658,[113000000 178000000 242000000  27500000]
131750000.0,34083537.08170559,[ 95000000 155000000 175000000 102000000]
