avg,std,all
151000000.0,56653552.40406377,[127500000 156000000 238000000  82500000]
50125000.0,49132391.30146222,[  4700000  21300000 132000000  42500000]
71810000.0,60942787.10397154,[   740000 124000000 140000000  22500000]
4057500.0,4507129.768489033,[  210000  1040000 11600000  3380000]
550000.0,278836.8698719737,[220000 860000 790000 330000]
197500.0,181848.1509391833,[ 50000  40000 490000 210000]
135000.0,66895.44080129826,[ 90000 110000 250000  90000]
300000.0,110679.71810589328,[370000 430000 140000 260000]
