avg,std,all
9.200000000000001,0.05656854249492427,[9.24 9.24 9.12]
8.9,0.14236104336041777,[8.7  8.98 9.02]
9.0,0.14514360704718154,[8.86 9.2  8.94]
8.946666666666667,0.3242769735204085,[9.4  8.78 8.66]
9.093333333333334,0.05249338582674565,[9.12 9.02 9.14]
8.96,0.06531972647421741,[9.04 8.96 8.88]
8.766666666666666,0.20154955277107917,[8.7  8.56 9.04]
9.266666666666667,0.08055363982396425,[9.22 9.2  9.38]
8.873333333333335,0.10624918300339478,[8.74 9.   8.88]
