x,y
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,2.000000000014e-12
36,3.000000000021e-12
37,8.000000000056e-12
38,2.1000000000146998e-11
39,4.8000000000336e-11
40,1.2900000000090302e-10
41,3.25000000002275e-10
42,7.2000000000504e-10
43,1.777000000012439e-09
44,5.091000000035637e-09
45,1.1109000000077764e-08
46,2.106400000014745e-08
47,3.649000000025543e-08
48,5.9256000000414786e-08
49,9.159000000064113e-08
50,1.361030000009527e-07
51,1.958120000013707e-07
52,2.7415600000191907e-07
53,3.7501400000262503e-07
54,5.027180000035189e-07
55,6.620640000046345e-07
56,8.583160000060082e-07
57,1.0972130000076805e-06
58,1.3849720000096947e-06
59,1.728283000012098e-06
60,2.13430900001494e-06
61,2.610679000018275e-06
62,3.1654750000221583e-06
63,3.8072320000266504e-06
64,4.544910000031815e-06
65,5.387889000037715e-06
66,6.345952000044422e-06
67,7.429260000052004e-06
68,8.648334000060537e-06
69,1.0014039000070096e-05
70,1.1537549000080763e-05
71,1.3230333000092613e-05
72,1.5104123000105728e-05
73,1.7170890000120195e-05
74,1.9442816000136098e-05
75,2.1932266000153527e-05
76,2.4651759000172562e-05
77,2.7613939000193296e-05
78,3.083154800021582e-05
79,3.4317392000240214e-05
80,3.808431600026659e-05
81,4.214517200029501e-05
82,4.651278900032558e-05
83,5.119994600035839e-05
84,5.621934300039353e-05
85,6.158357000043107e-05
86,6.730508500047112e-05
87,7.339617600051378e-05
88,7.986894700055908e-05
89,8.673528100060713e-05
90,9.400682600065804e-05
91,0.00010169495600071185
92,0.00010981076100076867
93,0.00011836501600082855
94,0.00012736816600089157
95,0.0001368302950009578
96,0.0001467611160010273
97,0.00015716994700110018
98,0.00016806569400117644
99,0.0001794568360012562
100,0.00019135140700133946
101,0.0002037569830014263
102,0.00021668066600151676
103,0.0002301290730016109
104,0.00024410832900170873
105,0.0002586240480018103
106,0.00027368132900191573
107,0.000289284749002025
108,0.00030543835400213804
109,0.000322145649002255
110,0.0003394096030023759
111,0.0003572326340025006
112,0.0003756166130026293
113,0.00039456285900276193
114,0.0004140721400028985
115,0.000434144670003039
116,0.0004547801120031834
117,0.0004759775790033318
118,0.0004977356380034842
119,0.0005200523070036404
120,0.0005429250690038005
121,0.0005663508670039644
122,0.0005903261210041322
123,0.0006148467190043039
124,0.0006399080390044795
125,0.0006655049480046585
126,0.0006916318130048415
127,0.000718282510005028
128,0.0007454504300052181
129,0.000773128494005412
130,0.0008013091630056092
131,0.0008299844440058097
132,0.000859145906006014
133,0.0008887846890062214
134,0.0009188915210064322
135,0.0009494567230066461
