x,y
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,1.6574008864807954e-13
74.0,1.1049339243204768e-12
75.0,2.044127759992874e-12
76.0,4.1771306399854535e-12
77.0,1.395339383995134e-11
78.0,3.9460553279862525e-11
79.0,1.2104791343957778e-10
80.0,3.672764333987188e-10
81.0,1.0646795000362894e-09
82.0,3.5834004008275214e-09
83.0,9.749556226405978e-09
84.0,2.1086377658446586e-08
85.0,4.134177294489578e-08
86.0,7.349501385838375e-08
87.0,1.213035182846972e-07
88.0,1.8951908338973963e-07
89.0,2.8468682851076666e-07
90.0,4.173373888663059e-07
91.0,5.917003314171367e-07
92.0,8.162070610473947e-07
93.0,1.1001897764199653e-06
94.0,1.4612975654897469e-06
95.0,1.910758066603858e-06
96.0,2.456593503593957e-06
97.0,3.11204875784335e-06
98.0,3.891234309966595e-06
99.0,4.832487998290157e-06
100.0,5.932506556791438e-06
101.0,7.208061787115836e-06
102.0,8.676631781487348e-06
103.0,1.0370389688846364e-05
104.0,1.231867443055646e-05
